Symbol,Type,Entry Time,Entry Price,Exit Time,Exit Price,PnL,Cumulative PnL,Exit Reason
NIFTY BANK,Short,2022-07-29 10:25:00,37336.8,2022-07-29 10:30:00,37236.8,100.0,-2295.55,TakeProfit
NIFTY BANK,Short,2022-08-01 09:15:00,37480.1,2022-08-01 10:15:00,37655.45,-175.35,-2470.90,StopLoss
NIFTY BANK,Long,2022-08-02 09:15:00,37785.55,2022-08-02 09:20:00,37699.15,-86.40,-2557.30,StopLoss
NIFTY BANK,Long,2022-08-03 09:15:00,37999.9,2022-08-03 09:40:00,37873.9,-126.0,-2683.30,StopLoss
NIFTY BANK,Short,2022-08-04 10:40:00,37973.7,2022-08-04 10:45:00,38035.0,-61.3,-2744.60,StopLoss
NIFTY BANK,Long,2022-08-08 09:40:00,37921.5,2022-08-08 10:15:00,38021.5,100.0,-2644.60,TakeProfit
NIFTY BANK,Short,2022-08-12 09:25:00,38782.95,2022-08-12 10:10:00,38857.95,-75.00,-2719.60,StopLoss
NIFTY BANK,Short,2022-08-17 09:15:00,39293.5,2022-08-17 11:10:00,39356.95,-63.45,-2783.05,StopLoss
NIFTY BANK,Long,2022-08-18 09:15:00,39434.35,2022-08-18 09:50:00,39534.35,100.00,-2683.05,TakeProfit
NIFTY BANK,Short,2022-08-19 09:15:00,39641.65,2022-08-19 09:30:00,39541.65,100.00,-2583.05,TakeProfit
NIFTY BANK,Long,2022-08-23 09:35:00,38402.1,2022-08-23 09:50:00,38502.1,100.0,-2483.05,TakeProfit
NIFTY BANK,Long,2022-08-24 09:15:00,38747.4,2022-08-24 10:20:00,38847.4,100.0,-2383.05,TakeProfit
NIFTY BANK,Long,2022-08-26 09:15:00,39253.55,2022-08-26 10:40:00,39124.35,-129.20,-2512.25,StopLoss
NIFTY BANK,Long,2022-09-01 09:15:00,39124.85,2022-09-01 09:25:00,39224.85,100.00,-2412.25,TakeProfit
NIFTY BANK,Short,2022-09-02 09:30:00,39274.15,2022-09-02 09:45:00,39370.75,-96.60,-2508.85,StopLoss
NIFTY BANK,Short,2022-09-06 10:15:00,39688.1,2022-09-06 10:25:00,39588.1,100.0,-2408.85,TakeProfit
NIFTY BANK,Short,2022-09-12 09:20:00,40515.25,2022-09-12 09:30:00,40415.25,100.00,-2308.85,TakeProfit
NIFTY BANK,Long,2022-09-14 09:45:00,40816.25,2022-09-14 09:50:00,40764.4,-51.85,-2360.70,StopLoss
NIFTY BANK,Short,2022-09-15 10:45:00,41232.75,2022-09-15 11:25:00,41319.0,-86.25,-2446.95,StopLoss
NIFTY BANK,Long,2022-09-19 09:30:00,40907.5,2022-09-19 09:45:00,41007.5,100.0,-2346.95,TakeProfit
NIFTY BANK,Long,2022-09-21 09:15:00,41307.8,2022-09-21 09:25:00,41407.8,100.0,-2246.95,TakeProfit
NIFTY BANK,Long,2022-09-27 09:15:00,38907.25,2022-09-27 09:30:00,39007.25,100.00,-2146.95,TakeProfit
NIFTY BANK,Long,2022-09-29 10:00:00,38034.2,2022-09-29 11:05:00,37930.45,-103.75,-2250.70,StopLoss
NIFTY BANK,Short,2022-09-30 09:15:00,37446.85,2022-09-30 09:45:00,37769.4,-322.55,-2573.25,StopLoss
NIFTY BANK,Short,2022-10-03 09:15:00,38412.35,2022-10-03 09:20:00,38553.2,-140.85,-2714.10,StopLoss
NIFTY BANK,Long,2022-10-10 11:55:00,39050.55,2022-10-10 12:10:00,39150.55,100.00,-2614.10,TakeProfit
NIFTY BANK,Short,2022-10-11 09:15:00,38926.4,2022-10-11 09:55:00,38826.4,100.0,-2514.10,TakeProfit
NIFTY BANK,Short,2022-10-12 09:15:00,38749.55,2022-10-12 09:20:00,38784.2,-34.65,-2548.75,StopLoss
NIFTY BANK,Long,2022-10-13 09:15:00,38985.1,2022-10-13 09:20:00,38933.65,-51.45,-2600.20,StopLoss
NIFTY BANK,Long,2022-10-17 09:15:00,39325.65,2022-10-17 09:25:00,39258.55,-67.10,-2667.30,StopLoss
NIFTY BANK,Short,2022-10-19 12:30:00,40302.75,2022-10-19 13:05:00,40202.75,100.00,-2567.30,TakeProfit
NIFTY BANK,Short,2022-10-25 09:15:00,41237.15,2022-10-25 09:20:00,41137.15,100.00,-2467.30,TakeProfit
NIFTY BANK,Short,2022-10-27 12:15:00,41248.65,2022-10-27 12:55:00,41301.15,-52.50,-2519.80,StopLoss
NIFTY BANK,Long,2022-10-28 09:15:00,41427.65,2022-10-28 09:50:00,41236.8,-190.85,-2710.65,StopLoss
NIFTY BANK,Short,2022-10-31 09:20:00,41185.3,2022-10-31 09:25:00,41262.25,-76.95,-2787.60,StopLoss
NIFTY BANK,Short,2022-11-01 13:00:00,41270.15,2022-11-01 13:25:00,41358.6,-88.45,-2876.05,StopLoss
NIFTY BANK,Short,2022-11-02 09:15:00,41274.9,2022-11-02 12:50:00,41174.9,100.0,-2776.05,TakeProfit
NIFTY BANK,Long,2022-11-03 09:30:00,41242.9,2022-11-03 10:10:00,41342.9,100.0,-2676.05,TakeProfit
NIFTY BANK,Short,2022-11-04 09:40:00,41280.85,2022-11-04 10:10:00,41180.85,100.00,-2576.05,TakeProfit
NIFTY BANK,Short,2022-11-14 09:15:00,42134.9,2022-11-14 09:30:00,42034.9,100.0,-2476.05,TakeProfit
NIFTY BANK,Short,2022-11-15 12:15:00,42085.2,2022-11-15 12:20:00,42107.8,-22.6,-2498.65,StopLoss
NIFTY BANK,Short,2022-11-16 09:15:00,42364.95,2022-11-16 09:40:00,42418.3,-53.35,-2552.00,StopLoss
NIFTY BANK,Long,2022-11-17 09:15:00,42467.55,2022-11-17 14:15:00,42567.55,100.00,-2452.00,TakeProfit
NIFTY BANK,Short,2022-11-18 09:15:00,42484.6,2022-11-18 10:50:00,42384.6,100.0,-2352.00,TakeProfit
NIFTY BANK,Short,2022-11-25 11:10:00,43040.35,2022-11-25 12:00:00,42940.35,100.00,-2252.00,TakeProfit
NIFTY BANK,Long,2022-11-28 11:55:00,43011.65,2022-11-28 12:20:00,43111.65,100.00,-2152.00,TakeProfit
NIFTY BANK,Long,2022-11-29 09:15:00,43127.7,2022-11-29 10:10:00,43227.7,100.0,-2052.00,TakeProfit
NIFTY BANK,Short,2022-11-30 09:45:00,43131.85,2022-11-30 10:00:00,43147.5,-15.65,-2067.65,StopLoss
NIFTY BANK,Short,2022-12-01 13:30:00,43182.35,2022-12-01 14:10:00,43249.35,-67.00,-2134.65,StopLoss
NIFTY BANK,Short,2022-12-05 09:30:00,43105.6,2022-12-05 09:40:00,43117.7,-12.1,-2146.75,StopLoss
NIFTY BANK,Long,2022-12-06 09:15:00,43247.2,2022-12-06 13:55:00,43093.9,-153.3,-2300.05,StopLoss
NIFTY BANK,Long,2022-12-07 09:15:00,43175.4,2022-12-07 09:25:00,43157.35,-18.05,-2318.10,StopLoss
NIFTY BANK,Short,2022-12-08 09:15:00,43128.3,2022-12-08 09:20:00,43201.0,-72.7,-2390.80,StopLoss
NIFTY BANK,Short,2022-12-09 12:45:00,43552.45,2022-12-09 13:00:00,43578.9,-26.45,-2417.25,StopLoss
NIFTY BANK,Long,2022-12-12 09:40:00,43633.05,2022-12-12 10:00:00,43733.05,100.00,-2317.25,TakeProfit
NIFTY BANK,Long,2022-12-15 09:15:00,44043.9,2022-12-15 11:40:00,43934.6,-109.3,-2426.55,StopLoss
NIFTY BANK,Short,2022-12-16 09:25:00,43484.25,2022-12-16 09:30:00,43541.6,-57.35,-2483.90,StopLoss
NIFTY BANK,Short,2022-12-19 09:15:00,43254.9,2022-12-19 09:45:00,43154.9,100.0,-2383.90,TakeProfit
NIFTY BANK,Long,2022-12-20 09:15:00,43257.2,2022-12-20 09:55:00,43152.65,-104.55,-2488.45,StopLoss
NIFTY BANK,Short,2022-12-21 10:20:00,43337.4,2022-12-21 12:10:00,43237.4,100.0,-2388.45,TakeProfit
NIFTY BANK,Short,2022-12-22 09:15:00,42765.1,2022-12-22 09:25:00,42665.1,100.0,-2288.45,TakeProfit
NIFTY BANK,Long,2022-12-26 09:15:00,41782.95,2022-12-26 09:20:00,41882.95,100.00,-2188.45,TakeProfit
NIFTY BANK,Short,2022-12-27 09:30:00,42544.9,2022-12-27 09:35:00,42444.9,100.0,-2088.45,TakeProfit
NIFTY BANK,Long,2022-12-28 09:15:00,42803.05,2022-12-28 10:05:00,42903.05,100.00,-1988.45,TakeProfit
NIFTY BANK,Long,2022-12-29 13:40:00,42827.3,2022-12-29 14:40:00,42927.3,100.0,-1888.45,TakeProfit
NIFTY BANK,Short,2022-12-30 09:30:00,43144.5,2022-12-30 09:35:00,43297.65,-153.15,-2041.60,StopLoss
NIFTY BANK,Short,2023-01-02 09:15:00,43030.05,2023-01-02 09:30:00,43151.25,-121.20,-2162.80,StopLoss
