Symbol,Type,Entry Time,Entry Price,Exit Time,Exit Price,PnL,Cumulative PnL
NIFTY BANK,Short,2016-03-17 09:50:00,15665.9,2016-03-17 11:30:00,15610.3,55.6,-484.35
NIFTY BANK,Short,2016-03-30 13:15:00,15981.35,2016-03-30 13:20:00,16026.85,-45.50,-529.85
NIFTY BANK,Short,2016-03-30 14:00:00,16074.9,2016-03-30 14:25:00,16126.85,-51.95,-581.80
NIFTY BANK,Short,2016-04-13 10:55:00,16277.2,2016-04-13 12:40:00,16275.75,1.45,-580.35
NIFTY BANK,Short,2016-04-21 10:15:00,16720.95,2016-04-21 13:00:00,16733.35,-12.40,-592.75
NIFTY BANK,Short,2016-05-25 10:30:00,16785.35,2016-05-25 10:35:00,16790.35,-5.00,-597.75
NIFTY BANK,Short,2016-05-25 10:45:00,16804.85,2016-05-25 11:05:00,16829.2,-24.35,-622.10
NIFTY BANK,Short,2016-05-25 11:10:00,16823.7,2016-05-25 11:55:00,16858.15,-34.45,-656.55
NIFTY BANK,Short,2016-05-25 12:15:00,16865.0,2016-05-25 13:10:00,16889.3,-24.3,-680.85
NIFTY BANK,Short,2016-05-26 15:20:00,17356.0,2016-05-27 09:15:00,17389.1,-33.1,-713.95
NIFTY BANK,Short,2016-06-15 15:10:00,17908.7,2016-06-16 12:15:00,17580.35,328.35,-385.60
NIFTY BANK,Short,2016-07-25 14:10:00,18989.2,2016-07-26 09:25:00,19025.2,-36.0,-421.60
NIFTY BANK,Short,2016-08-30 10:45:00,19441.2,2016-08-30 12:50:00,19442.1,-0.9,-422.50
NIFTY BANK,Short,2016-08-31 10:00:00,19661.8,2016-08-31 12:30:00,19658.85,2.95,-419.55
NIFTY BANK,Short,2016-08-31 14:10:00,19768.25,2016-08-31 14:20:00,19813.75,-45.50,-465.05
NIFTY BANK,Short,2016-09-06 11:10:00,20208.15,2016-09-06 11:15:00,20215.3,-7.15,-472.20
NIFTY BANK,Short,2016-09-06 11:40:00,20228.85,2016-09-06 11:45:00,20247.15,-18.30,-490.50
NIFTY BANK,Short,2016-09-06 12:00:00,20255.3,2016-09-06 14:10:00,20265.55,-10.25,-500.75
NIFTY BANK,Short,2016-09-16 10:45:00,20196.7,2016-09-16 14:15:00,19869.8,326.9,-173.85
NIFTY BANK,Short,2016-11-10 11:25:00,20199.05,2016-11-10 12:35:00,20277.2,-78.15,-252.00
NIFTY BANK,Short,2016-12-02 13:50:00,18336.2,2016-12-02 15:05:00,18259.65,76.55,-175.45
NIFTY BANK,Long,2016-12-20 12:00:00,18036.45,2016-12-20 13:40:00,18046.55,10.10,-165.35
NIFTY BANK,Short,2016-12-27 15:25:00,17869.2,2016-12-28 09:15:00,17897.05,-27.85,-193.20
NIFTY BANK,Short,2017-01-11 10:40:00,18626.3,2017-01-11 11:05:00,18662.75,-36.45,-229.65
NIFTY BANK,Short,2017-01-11 11:10:00,18660.2,2017-01-11 11:15:00,18670.25,-10.05,-239.70
NIFTY BANK,Short,2017-01-11 11:30:00,18687.8,2017-01-11 12:05:00,18721.8,-34.0,-273.70
NIFTY BANK,Short,2017-01-11 13:00:00,18760.9,2017-01-11 13:05:00,18782.2,-21.3,-295.00
NIFTY BANK,Short,2017-01-11 13:35:00,18806.4,2017-01-11 13:40:00,18818.1,-11.7,-306.70
NIFTY BANK,Short,2017-01-11 13:50:00,18821.0,2017-01-11 13:55:00,18843.4,-22.4,-329.10
NIFTY BANK,Short,2017-01-11 14:05:00,18851.45,2017-01-12 09:20:00,18917.0,-65.55,-394.65
NIFTY BANK,Short,2017-01-25 13:25:00,19244.05,2017-01-25 13:30:00,19265.15,-21.10,-415.75
NIFTY BANK,Short,2017-01-25 15:25:00,19460.0,2017-01-27 09:15:00,19581.65,-121.65,-537.40
NIFTY BANK,Short,2017-01-27 09:30:00,19584.0,2017-01-27 10:25:00,19667.3,-83.3,-620.70
NIFTY BANK,Short,2017-02-21 15:15:00,20848.55,2017-02-22 09:15:00,20870.85,-22.30,-643.00
NIFTY BANK,Short,2017-03-24 10:45:00,21125.15,2017-03-24 12:00:00,21117.0,8.15,-634.85
NIFTY BANK,Short,2017-04-18 11:00:00,21916.0,2017-04-18 14:20:00,21805.8,110.2,-524.65
NIFTY BANK,Short,2017-05-25 14:40:00,23078.65,2017-05-25 15:00:00,23197.2,-118.55,-643.20
NIFTY BANK,Short,2017-06-19 14:50:00,23766.85,2017-06-20 10:05:00,23741.65,25.20,-618.00
NIFTY BANK,Short,2017-07-10 12:15:00,23583.55,2017-07-10 13:30:00,23616.9,-33.35,-651.35
NIFTY BANK,Short,2017-07-13 10:15:00,23887.65,2017-07-13 13:00:00,23865.85,21.80,-629.55
NIFTY BANK,Short,2017-07-27 10:05:00,24885.05,2017-07-27 11:00:00,24929.35,-44.30,-673.85
NIFTY BANK,Short,2017-07-27 11:30:00,24977.65,2017-07-27 11:35:00,25001.85,-24.20,-698.05
NIFTY BANK,Short,2017-07-27 11:40:00,24969.9,2017-07-27 13:50:00,25008.9,-39.0,-737.05
NIFTY BANK,Short,2017-08-16 13:45:00,24256.75,2017-08-16 14:35:00,24343.8,-87.05,-824.10
NIFTY BANK,Short,2017-09-11 11:55:00,24624.4,2017-09-11 12:10:00,24653.25,-28.85,-852.95
NIFTY BANK,Short,2017-10-13 09:40:00,24490.0,2017-10-13 10:00:00,24526.95,-36.95,-889.90
NIFTY BANK,Short,2017-10-13 10:05:00,24516.5,2017-10-13 10:30:00,24560.7,-44.2,-934.10
NIFTY BANK,Short,2017-10-13 11:15:00,24649.25,2017-10-13 11:25:00,24681.6,-32.35,-966.45
NIFTY BANK,Short,2017-10-13 11:45:00,24682.4,2017-10-13 13:05:00,24723.2,-40.8,-1007.25
NIFTY BANK,Short,2017-11-17 10:05:00,25859.2,2017-11-17 13:35:00,25878.5,-19.3,-1026.55
NIFTY BANK,Short,2017-11-28 09:15:00,25900.55,2017-11-28 10:15:00,25931.45,-30.90,-1057.45
NIFTY BANK,Short,2018-01-18 10:00:00,26793.55,2018-01-18 12:10:00,26758.6,34.95,-1022.50
NIFTY BANK,Short,2018-02-06 14:30:00,25880.4,2018-02-06 14:35:00,25945.45,-65.05,-1087.55
NIFTY BANK,Short,2018-02-23 11:55:00,25249.65,2018-02-23 13:15:00,25256.35,-6.70,-1094.25
NIFTY BANK,Long,2018-03-07 09:40:00,24287.8,2018-03-07 10:40:00,24229.7,-58.1,-1152.35
NIFTY BANK,Short,2018-03-13 10:25:00,24962.35,2018-03-13 12:30:00,24934.0,28.35,-1124.00
NIFTY BANK,Short,2018-03-27 09:45:00,24432.75,2018-03-27 12:05:00,24410.85,21.90,-1102.10
NIFTY BANK,Short,2018-04-27 10:15:00,25286.25,2018-04-27 13:00:00,25308.95,-22.70,-1124.80
NIFTY BANK,Short,2018-05-31 15:25:00,26874.4,2018-06-01 10:00:00,26974.85,-100.45,-1225.25
NIFTY BANK,Short,2018-07-04 13:45:00,26295.0,2018-07-04 13:50:00,26325.0,-30.0,-1255.25
NIFTY BANK,Short,2018-07-27 10:15:00,27593.0,2018-07-27 10:20:00,27611.7,-18.7,-1273.95
NIFTY BANK,Short,2018-08-06 09:50:00,27884.65,2018-08-06 10:30:00,27944.35,-59.70,-1333.65
NIFTY BANK,Short,2018-08-06 10:40:00,27938.6,2018-08-06 13:15:00,27952.05,-13.45,-1347.10
NIFTY BANK,Short,2018-08-09 10:40:00,28292.7,2018-08-09 10:45:00,28306.3,-13.6,-1360.70
NIFTY BANK,Short,2018-08-27 12:55:00,28284.5,2018-08-27 13:15:00,28301.85,-17.35,-1378.05
NIFTY BANK,Long,2018-09-12 09:25:00,26731.0,2018-09-12 10:00:00,26627.0,-104.0,-1482.05
NIFTY BANK,Long,2018-09-12 10:05:00,26629.85,2018-09-12 11:55:00,26685.95,56.10,-1425.95
NIFTY BANK,Short,2018-12-19 09:30:00,27268.0,2018-12-19 10:05:00,27322.9,-54.9,-1480.85
NIFTY BANK,Short,2018-12-26 15:00:00,26952.8,2018-12-26 15:20:00,27006.95,-54.15,-1535.00
NIFTY BANK,Short,2018-12-27 09:35:00,27173.55,2018-12-27 10:45:00,27124.45,49.10,-1485.90
NIFTY BANK,Short,2019-01-02 09:15:00,27304.65,2019-01-02 10:15:00,27368.95,-64.30,-1550.20
NIFTY BANK,Short,2019-02-25 15:15:00,27149.4,2019-02-26 10:25:00,26823.8,325.6,-1224.60
NIFTY BANK,Short,2019-03-05 13:10:00,27287.7,2019-03-05 13:20:00,27358.1,-70.4,-1295.00
NIFTY BANK,Short,2019-03-05 13:30:00,27341.25,2019-03-05 14:15:00,27403.9,-62.65,-1357.65
NIFTY BANK,Short,2019-03-05 15:20:00,27549.75,2019-03-06 09:20:00,27616.75,-67.00,-1424.65
NIFTY BANK,Short,2019-03-06 09:30:00,27643.75,2019-03-06 11:35:00,27595.35,48.40,-1376.25
NIFTY BANK,Short,2019-03-27 09:35:00,29999.65,2019-03-27 10:50:00,30177.2,-177.55,-1553.80
